#origin #RMSD #repl-origin
---- 0.000 ----
---- 0.000 ----
3j7r 0.480 4puo
---- 0.000 ----
8wuv 0.371 8wus
---- 0.000 ----
8ink 0.415 3r1h
6rjd 0.359 ----
8ud5 0.338 7s4u
1qu3 0.504 8i3q
8qcq 0.238 6htq
6pif 0.225 6zym
4v6p 0.258 4v6n
5aj0 0.417 3jbu
3jbo 0.227 3jbp
6ogg 0.430 5u9f
5zwo 0.447 5h0r
8tux 0.370 ----
7lh5 0.509 5t7v
---- 0.000 ----
6zj3 0.480 7lj3
5k36 0.289 5vzj
5zlu 0.480 7xui
4cxh 0.487 3j16
5uyq 0.331 6osk
8ipd 0.368 8ink
8oz0 0.376 8jdm
2f8s 0.601 3mum
6nd4 0.648 4xco
4v6w 0.592 7paq
4v7r 0.330 ----
4v8z 0.699 7d8c
8r6w 0.453 7ele
4v87 0.229 4v8b
7jql 0.219 5o2r
7uph 0.507 4v7i
2der 0.450 6icz
6y69 0.352 ----
8hio 0.309 ----
---- 0.000 ----
8y0x 0.239 6z6m
7qi6 0.682 2det
7tor 0.256 7pal
5imr 0.553 4ylo
5t2a 0.260 8j8h
8v9k 0.208 5dm7
7xui 0.691 7pir
7zq6 0.428 ----
5e7k 0.444 5ndj
5zep 0.653 5wfs
7waz 0.468 7vyx
---- 0.000 ----
7jt2 0.380 7jsz
5axm 0.404 ----
6boh 0.334 ----
3ktv 0.447 ----
8r55 0.221 8qpp
5wty 0.410 ----
7phb 0.360 ----
8bn3 0.255 4u50
3j0l 0.561 7t1p
6xz7 0.401 1ob5
8wmm 0.223 3dll
8scb 0.375 ----
5uyk 0.361 ----
8gxb 0.275 8gxc
8rpy 0.255 7bl5
3mut 0.428 3ucz
4v70 0.645 4v76
2nre 0.616 7d80
4w29 0.547 3zn8
---- 0.000 ----
7uw1 0.331 ----
6o7e 0.576 6bok
7zux 0.647 5ccb
7nrc 0.264 6tnu
5el4 0.569 5xtm
8fon 0.327 8wib
4w29 0.545 5u0a
7uqz 0.220 7uoo
7aqd 0.530 4v79
6zj3 0.497 8d2p
4jxx 0.492 4jxz
3icq 0.639 7uxa
6spg 0.232 6spd
7u5e 0.496 7we6
8jdl 0.462 4v4i
5dcv 0.461 7asn
4wzo 0.584 4v6k
8scb 0.249 6sgc
4wro 0.514 4wqr
8hl1 0.283 6nta
5ndk 0.341 5ndj
7yse 0.517 5lzs
---- 0.000 ----
