#origin #prim-ind #is-repl #prim-origin #prim-RMSD #ext-ind #ext-origin #ext-RMSD
7jqq 1718 0 ---- 1.982    0 ---- -1
4w90  271 0 6ip8 1.191    0 ---- -1
6ny5  567 0 5j1o 1.083    0 ---- -1
7jqq  314 0 6gqv 1.334    0 ---- -1
7ki3  950 0 ---- 1.240    0 ---- -1
7msf 1251 0 3cul 1.492    1 6szu 1.030
7qr3  676 0 ---- 1.482    0 ---- -1
7r21  649 0 9ash 1.363    0 ---- -1
8cx2 1283 0 5kpw 2.035    2 2kg1 1.815
9i05  872 0 9fia 1.192    0 ---- -1
1dz5 2362 0 ---- 1.256    0 ---- -1
3pkm  625 0 8uta 1.151    0 ---- -1
1a1t 1961 0 6ty9 1.272    0 ---- -1
1a4t 2321 0 ---- 1.924    0 ---- -1
1aud 1769 0 1mji 1.043    0 ---- -1
1bmv  509 0 6ogg 1.291    0 ---- -1
1dfu 2179 0 9fia 1.355  328 9g6k 1.319
1ec6 2326 0 ---- 1.944    3 4v7e 1.623
1eiy 1025 0 8hl1 1.969    4 4v9b 1.562
1eiy 1595 0 7pia 1.563    5 6az1 1.342
1etg 1765 0 1etf 1.054    0 ---- -1
1euq 2348 0 ---- 2.081    6 1euy 1.727
1euy  771 0 1u0b 1.465    0 ---- -1
1exd  662 0 5ylz 1.132    0 ---- -1
1exy 1984 0 6z9r 1.581    0 ---- -1
1f6u  652 0 ---- 2.445    7 5el5 1.837
1f6u  934 0 8rw1 1.436    0 ---- -1
1fje 1409 0 ---- 1.356    0 ---- -1
1g1x 2221 0 9i05 2.012    8 1ysh 1.559
1g70 1130 0 6gov 1.372    0 ---- -1
1g70 2361 0 ---- 1.749    9 4pmi 1.597
1g70  809 0 ---- 1.390    0 ---- -1
1hvu 1719 0 ---- 1.449    0 ---- -1
1j1u  738 0 4yco 1.320    0 ---- -1
1j2b 2229 0 9l5r 2.392    0 ---- -1
1k1g  625 0 8uta 1.532   10 2n8m 1.366
1knz 1615 0 8a3l 1.387   11 4w90 1.123
1l1c 1640 0 8jdj 1.360    0 ---- -1
1l9a  720 0 ---- 1.993   12 4v61 1.818
1l9a 2250 0 ---- 1.232    0 ---- -1
1lng 1026 0 8i0w 2.400   13 8i0p 2.228
1lng  761 0 8zhb 1.376    0 ---- -1
1msw 1149 0 7a5i 1.741  147 4v5e 1.735
1ooa  725 0 ---- 1.274    0 ---- -1
1p6v 2370 0 ---- 1.974   14 7pir 1.524
1p6v  777 0 4wqr 1.628    0 ---- -1
1qzw  675 0 9n2b 1.240    0 ---- -1
1rkj  329 0 8bh4 2.269   15 7ogm 2.096
1ry1 2153 0 8zyc 2.292   16 6zdq 1.783
1s03  109 0 9dfd 1.422    0 ---- -1
1s03  680 0 ---- 1.317    0 ---- -1
1s03 1737 0 ---- 1.830    0 ---- -1
1s03  990 0 5imq 1.358    0 ---- -1
1sds  316 0 ---- 1.753    0 ---- -1
1ser  415 0 8fze 1.139    0 ---- -1
1u0b  819 0 2du4 1.160    0 ---- -1
1u63 2391 0 ---- 2.525   17 7yr7 2.021
1u63 1821 0 4v4v 1.322    0 ---- -1
1u6p 2197 0 9g6k 1.429   18 8pv4 1.227
1u6p 1697 0 ---- 1.877   19 4v6i 1.646
1ull  857 0 7xue 1.370    0 ---- -1
1ull  506 0 4v8p 1.242    0 ---- -1
1vfg  769 0 ---- 1.570    0 ---- -1
1wwd 1647 0 8psz 2.456   20 6gzq 2.334
1wwd 1121 0 5o9z 1.678   21 8uta 1.336
1y69  720 0 ---- 1.179    0 ---- -1
1ysh 1992 0 7abg 2.159   22 1g1x 1.559
1zbn  582 0 ---- 1.071    0 ---- -1
1zbn   70 0 6k4s 1.183    0 ---- -1
2ake 2254 0 ---- 1.788   23 2dr2 1.021
2ake 1084 0 ---- 2.039   24 2dr2 1.006
2ann 1412 0 ---- 1.613   25 2anr 1.362
2anr 1195 0 9g6k 1.074    0 ---- -1
2azx 2212 0 9gft 1.682    0 ---- -1
2azx   91 0 7jt3 1.261    0 ---- -1
2b63 1208 0 ---- 2.152    0 ---- -1
2b63 1251 0 3cul 1.787    0 ---- -1
2b6g  354 0 7s4u 1.550    0 ---- -1
2bgg 1974 0 6xu6 1.221    0 ---- -1
2bh2 1519 0 5gmk 1.591   26 6zj3 1.290
2csx 2348 0 ---- 1.626   27 2zzm 1.492
2csx 1867 0 5ccb 2.197   28 2ct8 1.718
2ct8 1965 0 6vrc 1.114    0 ---- -1
2ct8 1022 0 8fzg 1.582    0 ---- -1
