#origin #RMSD #repl-origin
---- 0.000 ----
9aur 0.293 5h5u
9hqv 0.361 6xir
9f9s 0.262 ----
8k2d 0.210 ----
9g06 0.287 2ct8
4v8m 0.522 8hky
7nwg 0.285 ----
7vyx 0.589 3j16
4tzp 0.349 9j9i
7yr7 0.480 7eu0
5t5h 0.376 3izz
5iqr 0.449 4v5l
4v8b 0.393 4v87
8zhb 0.556 ----
9hqv 0.453 7z34
4v4z 0.278 4v4x
8ws5 0.262 8wrw
9mw7 0.310 4k4w
7pio 0.362 9fcv
5el6 0.547 8eg0
8dej 0.317 8dfa
2iy5 0.681 6htq
9nl6 0.271 ----
8g4s 0.393 8fvy
5aa0 0.539 4v5c
6xiq 0.408 5zep
1j2b 0.664 5h4p
6gzz 0.643 6gzq
9o3i 0.296 ----
---- 0.000 ----
8cdr 0.468 7pi8
6dt8 0.563 7ssn
7k55 0.649 9fia
4v8e 0.559 4v8f
9iiy 0.633 7xlt
9u47 0.558 5lze
4v4i 0.405 4v4j
7jqq 0.573 ----
5mc6 0.589 ----
3qsy 0.610 5l3p
7pai 0.374 9g6k
6vrc 0.359 7qgg
---- 0.000 ----
8gwb 0.505 8cf5
4v7a 0.372 9g6k
6lxd 0.497 6ywx
7o9m 0.502 8vrl
7zw0 0.210 ----
9l5t 0.280 9l5s
3g96 0.357 ----
8fzj 0.222 8g7s
8cdr 0.234 8cf5
7jqq 0.441 4v6i
7pia 0.276 7pan
5kcs 0.223 5l3p
6boh 0.491 6r84
8g4i 0.570 4v5k
5m1j 0.206 ----
6oj2 0.528 5lmq
---- 0.000 ----
9hcc 0.488 3jcd
8bsj 0.545 ----
7wb1 0.436 8uau
3k4e 0.222 ----
8hl1 0.209 ----
4v4y 0.338 4v4z
9o3h 0.225 ----
9nkl 0.345 7bv8
---- 0.000 ----
8w2n 0.708 6i7o
8s8i 0.428 8s8k
7kha 0.552 8zhb
8xz3 0.236 ----
4v7h 0.523 5d6g
6n1d 0.545 3izz
7pjt 0.295 ----
---- 0.000 ----
8pm4 0.642 6xu7
7lj3 0.620 6c4i
8ujk 0.257 ----
9g9f 0.537 7nwg
6skf 0.689 7k51
4wra 0.663 4v9i
3jct 0.223 7bt6
8r55 0.235 8qpp
7pao 0.654 6s12
8z85 0.243 ----
8t5h 0.255 9g6j
7qi6 0.596 7qi4
9ghg 0.277 ----
7s4u 0.536 5wfs
---- 0.000 ----
4v4y 0.544 9i05
8qbt 0.501 ----
5vp2 0.275 8ev6
---- 0.000 ----
5d6g 0.329 5d8h
2wwa 0.290 ----
5imr 0.560 ----
9h3p 0.286 9ha4
4v65 0.680 8agt
5t2a 0.279 ----
4v73 0.573 4v6s
8s8d 0.320 7zjw
3j5y 0.579 ----
9iot 0.285 ----
6n1d 0.665 4v66
9fxo 0.210 7o7z
6nue 0.519 6ppk
2det 0.309 2deu
9i5x 0.246 ----
6ope 0.593 8bhn
8vak 0.706 7pha
7pai 0.274 7phb
7way 0.509 7jqq
5h1s 0.327 6htq
6w1x 0.476 6lnc
4v9j 0.415 ----
5u9g 0.430 6r6p
---- 0.000 ----
8rfj 0.225 8rc3
---- 0.000 ----
4v5e 0.644 6oj2
9mq4 0.301 ----
9bdl 0.287 9bdp
7a5i 0.435 ----
5np6 0.289 5f8n
6xu8 0.337 6xu6
3al0 0.261 2cv1
2a9x 0.767 7oi8
8hl2 0.237 8hl3
4v6g 0.388 4v5e
9kor 0.261 ----
---- 0.000 ----
9m86 0.468 3k0j
5lzs 0.568 7v08
